airline,airline_iata,airline_icao,flight,airport_from,airport_from_iata,airport_from_icao,country_iso2_from,country_from,airport_to,airport_to_iata,airport_to_icao,country_iso2_to,country_to,departure_time,arrival_time,flight_duration,operative_days,operative_days_descr,starting_date,end_date,flight_qualify,is_code_sharing,airline_iata_share,airline_icao_share,airline_share_flight,airline_iata_share2,airline_icao_share2,airline_share_flight2
"TRAVEL SERVICE AS","QS","TVS","01018","PRAGA","PRG","LKPR","CZ","REPUBBLICA CECA","CAGLIARI","CAG","LIEE","IT","ITALIA","11:25","14:40","","0004007","GIOVEDI,DOMENICA","03/06/2021","30/10/2021","LINEA","0","","","","","",""
"TRAVEL SERVICE AS","QS","TVS","01019","CAGLIARI","CAG","LIEE","IT","ITALIA","PRAGA","PRG","LKPR","CZ","REPUBBLICA CECA","15:25","16:40","","0004007","GIOVEDI,DOMENICA","03/06/2021","30/10/2021","LINEA","0","","","","","",""
"TRAVEL SERVICE AS","QS","TVS","04300","STOCCOLMA","ARN","ESSA","SE","SVEZIA","CAGLIARI","CAG","LIEE","IT","ITALIA","09:40","14:05","","0000007","DOMENICA","26/09/2021","26/09/2021","CHARTER","0","","","","","",""
"TRAVEL SERVICE AS","QS","TVS","04301","CAGLIARI","CAG","LIEE","IT","ITALIA","STOCCOLMA","ARN","ESSA","SE","SVEZIA","12:00","14:25","","0030000","MERCOLEDI","29/09/2021","29/09/2021","CHARTER","0","","","","","",""
"EDELWEISS","WK","EDW","00388","ZURIGO","ZRH","LSZH","CH","SVIZZERA","CAGLIARI","CAG","LIEE","IT","ITALIA","12:35","14:20","","0004000","GIOVEDI","13/05/2021","13/05/2021","LINEA","0","","","","","",""
"EDELWEISS","WK","EDW","00389","CAGLIARI","CAG","LIEE","IT","ITALIA","ZURIGO","ZRH","LSZH","CH","SVIZZERA","15:05","16:50","","0004000","GIOVEDI","13/05/2021","13/05/2021","LINEA","0","","","","","",""
"EDELWEISS","WK","EDW","00388","ZURIGO","ZRH","LSZH","CH","SVIZZERA","CAGLIARI","CAG","LIEE","IT","ITALIA","11:45","13:30","","1000000","LUNEDI","24/05/2021","24/05/2021","LINEA","0","","","","","",""
"EDELWEISS","WK","EDW","00389","CAGLIARI","CAG","LIEE","IT","ITALIA","ZURIGO","ZRH","LSZH","CH","SVIZZERA","14:20","16:05","","1000000","LUNEDI","24/05/2021","24/05/2021","LINEA","0","","","","","",""
"EDELWEISS","WK","EDW","00388","ZURIGO","ZRH","LSZH","CH","SVIZZERA","CAGLIARI","CAG","LIEE","IT","ITALIA","06:10","07:55","","0000500","VENERDI","21/05/2021","22/10/2021","LINEA","0","","","","","",""
"EDELWEISS","WK","EDW","00389","CAGLIARI","CAG","LIEE","IT","ITALIA","ZURIGO","ZRH","LSZH","CH","SVIZZERA","08:40","10:25","","0000500","VENERDI","21/05/2021","22/10/2021","LINEA","0","","","","","",""
"EDELWEISS","WK","EDW","00388","ZURIGO","ZRH","LSZH","CH","SVIZZERA","CAGLIARI","CAG","LIEE","IT","ITALIA","06:20","08:05","","0000007","DOMENICA","09/05/2021","30/10/2021","LINEA","0","","","","","",""
"EDELWEISS","WK","EDW","00389","CAGLIARI","CAG","LIEE","IT","ITALIA","ZURIGO","ZRH","LSZH","CH","SVIZZERA","08:55","10:40","","0000007","DOMENICA","09/05/2021","30/10/2021","LINEA","0","","","","","",""
"EDELWEISS","WK","EDW","00388","ZURIGO","ZRH","LSZH","CH","SVIZZERA","CAGLIARI","CAG","LIEE","IT","ITALIA","06:35","08:20","","0000060","SABATO","08/05/2021","18/09/2021","LINEA","0","","","","","",""
"EDELWEISS","WK","EDW","00389","CAGLIARI","CAG","LIEE","IT","ITALIA","ZURIGO","ZRH","LSZH","CH","SVIZZERA","09:05","10:50","","0000060","SABATO","08/05/2021","18/09/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01519","CAGLIARI","CAG","LIEE","IT","ITALIA","VERONA","VRN","LIPX","IT","ITALIA","17:20","18:50","","0000067","SABATO,DOMENICA","05/06/2021","19/09/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01518","VERONA","VRN","LIPX","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","10:50","12:20","","0000067","SABATO,DOMENICA","05/06/2021","19/09/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01548","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","12:30","13:40","","1200000","LUNEDI,MARTEDI","28/03/2021","30/03/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01548","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","12:30","13:40","","1000560","LUNEDI,VENERDI,SABATO","09/04/2021","12/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01548","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","12:30","13:40","","0030007","MERCOLEDI,DOMENICA","28/03/2021","31/03/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01548","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","12:30","13:40","","0000007","DOMENICA","11/04/2021","11/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01548","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","12:30","13:40","","0000500","VENERDI","30/04/2021","30/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01549","CAGLIARI","CAG","LIEE","IT","ITALIA","MILANO LINATE","LIN","LIML","IT","ITALIA","14:25","15:35","","1200000","LUNEDI,MARTEDI","28/03/2021","30/03/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01549","CAGLIARI","CAG","LIEE","IT","ITALIA","MILANO LINATE","LIN","LIML","IT","ITALIA","14:25","15:35","","1000560","LUNEDI,VENERDI,SABATO","09/04/2021","12/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01549","CAGLIARI","CAG","LIEE","IT","ITALIA","MILANO LINATE","LIN","LIML","IT","ITALIA","14:25","15:35","","0030007","MERCOLEDI,DOMENICA","28/03/2021","31/03/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01549","CAGLIARI","CAG","LIEE","IT","ITALIA","MILANO LINATE","LIN","LIML","IT","ITALIA","14:25","15:35","","0000007","DOMENICA","11/04/2021","11/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01549","CAGLIARI","CAG","LIEE","IT","ITALIA","MILANO LINATE","LIN","LIML","IT","ITALIA","14:25","15:35","","0000500","VENERDI","30/04/2021","30/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01567","CAGLIARI","CAG","LIEE","IT","ITALIA","MILANO LINATE","LIN","LIML","IT","ITALIA","15:25","16:45","","1234567","LUNEDI,MARTEDI,MERCOLEDI,GIOVEDI,VENERDI,SABATO,DOMENICA","01/07/2021","30/09/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01529","CAGLIARI","CAG","LIEE","IT","ITALIA","MILANO LINATE","LIN","LIML","IT","ITALIA","17:55","19:15","","1234567","LUNEDI,MARTEDI,MERCOLEDI,GIOVEDI,VENERDI,SABATO,DOMENICA","01/07/2021","30/09/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01559","CAGLIARI","CAG","LIEE","IT","ITALIA","MILANO LINATE","LIN","LIML","IT","ITALIA","18:40","20:00","","1234567","LUNEDI,MARTEDI,MERCOLEDI,GIOVEDI,VENERDI,SABATO,DOMENICA","01/10/2021","28/10/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01559","CAGLIARI","CAG","LIEE","IT","ITALIA","MILANO LINATE","LIN","LIML","IT","ITALIA","18:40","20:00","","1234567","LUNEDI,MARTEDI,MERCOLEDI,GIOVEDI,VENERDI,SABATO,DOMENICA","18/04/2021","30/06/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01559","CAGLIARI","CAG","LIEE","IT","ITALIA","MILANO LINATE","LIN","LIML","IT","ITALIA","18:40","20:00","","1234507","LUNEDI,MARTEDI,MERCOLEDI,GIOVEDI,VENERDI,DOMENICA","31/03/2021","16/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01559","CAGLIARI","CAG","LIEE","IT","ITALIA","MILANO LINATE","LIN","LIML","IT","ITALIA","18:40","20:00","","1000007","LUNEDI,DOMENICA","28/03/2021","29/03/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01559","CAGLIARI","CAG","LIEE","IT","ITALIA","MILANO LINATE","LIN","LIML","IT","ITALIA","18:40","20:00","","0200000","MARTEDI","28/03/2021","30/03/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01559","CAGLIARI","CAG","LIEE","IT","ITALIA","MILANO LINATE","LIN","LIML","IT","ITALIA","18:40","20:00","","0000060","SABATO","28/03/2021","03/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01559","CAGLIARI","CAG","LIEE","IT","ITALIA","MILANO LINATE","LIN","LIML","IT","ITALIA","18:40","20:00","","0000060","SABATO","10/04/2021","10/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01559","CAGLIARI","CAG","LIEE","IT","ITALIA","MILANO LINATE","LIN","LIML","IT","ITALIA","18:40","20:00","","0000060","SABATO","17/04/2021","17/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01560","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","17:35","18:55","","1234567","LUNEDI,MARTEDI,MERCOLEDI,GIOVEDI,VENERDI,SABATO,DOMENICA","01/07/2021","30/09/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01559","CAGLIARI","CAG","LIEE","IT","ITALIA","MILANO LINATE","LIN","LIML","IT","ITALIA","19:45","21:05","","1234567","LUNEDI,MARTEDI,MERCOLEDI,GIOVEDI,VENERDI,SABATO,DOMENICA","01/07/2021","30/09/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01574","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","07:05","08:25","","1234567","LUNEDI,MARTEDI,MERCOLEDI,GIOVEDI,VENERDI,SABATO,DOMENICA","01/07/2021","30/09/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01573","CAGLIARI","CAG","LIEE","IT","ITALIA","MILANO LINATE","LIN","LIML","IT","ITALIA","09:10","10:30","","1234567","LUNEDI,MARTEDI,MERCOLEDI,GIOVEDI,VENERDI,SABATO,DOMENICA","01/07/2021","30/09/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01565","CAGLIARI","CAG","LIEE","IT","ITALIA","MILANO LINATE","LIN","LIML","IT","ITALIA","11:05","12:25","","1234567","LUNEDI,MARTEDI,MERCOLEDI,GIOVEDI,VENERDI,SABATO,DOMENICA","01/04/2021","09/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01565","CAGLIARI","CAG","LIEE","IT","ITALIA","MILANO LINATE","LIN","LIML","IT","ITALIA","11:05","12:25","","1234567","LUNEDI,MARTEDI,MERCOLEDI,GIOVEDI,VENERDI,SABATO,DOMENICA","24/04/2021","28/10/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01565","CAGLIARI","CAG","LIEE","IT","ITALIA","MILANO LINATE","LIN","LIML","IT","ITALIA","11:05","12:25","","1230567","LUNEDI,MARTEDI,MERCOLEDI,VENERDI,SABATO,DOMENICA","11/04/2021","19/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01565","CAGLIARI","CAG","LIEE","IT","ITALIA","MILANO LINATE","LIN","LIML","IT","ITALIA","11:05","12:25","","1000007","LUNEDI,DOMENICA","28/03/2021","29/03/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01565","CAGLIARI","CAG","LIEE","IT","ITALIA","MILANO LINATE","LIN","LIML","IT","ITALIA","11:05","12:25","","0034000","MERCOLEDI,GIOVEDI","21/04/2021","22/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01565","CAGLIARI","CAG","LIEE","IT","ITALIA","MILANO LINATE","LIN","LIML","IT","ITALIA","11:05","12:25","","0200000","MARTEDI","28/03/2021","30/03/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01565","CAGLIARI","CAG","LIEE","IT","ITALIA","MILANO LINATE","LIN","LIML","IT","ITALIA","11:05","12:25","","0030000","MERCOLEDI","28/03/2021","31/03/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01565","CAGLIARI","CAG","LIEE","IT","ITALIA","MILANO LINATE","LIN","LIML","IT","ITALIA","11:05","12:25","","0000060","SABATO","10/04/2021","10/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01565","CAGLIARI","CAG","LIEE","IT","ITALIA","MILANO LINATE","LIN","LIML","IT","ITALIA","11:05","12:25","","0004000","GIOVEDI","15/04/2021","15/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01565","CAGLIARI","CAG","LIEE","IT","ITALIA","MILANO LINATE","LIN","LIML","IT","ITALIA","11:05","12:25","","0200000","MARTEDI","20/04/2021","20/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01565","CAGLIARI","CAG","LIEE","IT","ITALIA","MILANO LINATE","LIN","LIML","IT","ITALIA","11:05","12:25","","0000500","VENERDI","23/04/2021","23/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01554","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","09:00","10:20","","1234567","LUNEDI,MARTEDI,MERCOLEDI,GIOVEDI,VENERDI,SABATO,DOMENICA","01/04/2021","09/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01554","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","09:00","10:20","","1234567","LUNEDI,MARTEDI,MERCOLEDI,GIOVEDI,VENERDI,SABATO,DOMENICA","24/04/2021","28/10/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01554","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","09:00","10:20","","1230567","LUNEDI,MARTEDI,MERCOLEDI,VENERDI,SABATO,DOMENICA","11/04/2021","19/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01554","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","09:00","10:20","","1000007","LUNEDI,DOMENICA","28/03/2021","29/03/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01554","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","09:00","10:20","","0034000","MERCOLEDI,GIOVEDI","21/04/2021","22/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01554","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","09:00","10:20","","0200000","MARTEDI","28/03/2021","30/03/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01554","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","09:00","10:20","","0030000","MERCOLEDI","28/03/2021","31/03/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01554","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","09:00","10:20","","0000060","SABATO","10/04/2021","10/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01554","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","09:00","10:20","","0004000","GIOVEDI","15/04/2021","15/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01554","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","09:00","10:20","","0200000","MARTEDI","20/04/2021","20/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01554","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","09:00","10:20","","0000500","VENERDI","23/04/2021","23/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01528","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","15:50","17:10","","1234567","LUNEDI,MARTEDI,MERCOLEDI,GIOVEDI,VENERDI,SABATO,DOMENICA","18/04/2021","28/10/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01528","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","15:50","17:10","","1234507","LUNEDI,MARTEDI,MERCOLEDI,GIOVEDI,VENERDI,DOMENICA","31/03/2021","16/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01528","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","15:50","17:10","","1000007","LUNEDI,DOMENICA","28/03/2021","29/03/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01528","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","15:50","17:10","","0200000","MARTEDI","28/03/2021","30/03/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01528","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","15:50","17:10","","0000060","SABATO","28/03/2021","03/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01528","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","15:50","17:10","","0000060","SABATO","10/04/2021","10/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01528","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","15:50","17:10","","0000060","SABATO","17/04/2021","17/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01544","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","19:30","20:50","","0200000","MARTEDI","06/04/2021","06/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01548","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","11:30","12:40","","1234567","LUNEDI,MARTEDI,MERCOLEDI,GIOVEDI,VENERDI,SABATO,DOMENICA","01/07/2021","30/09/2021","LINEA","0","","","","","",""
